"","FID","Id","Distance","TransectID","FRBWidth","Cover","Height","LU","Next.LU","Next.LU.Alt"
"1",0,1,10,1,40,0.79,5.23101729381,40,20,NA
"2",1,2,20,1,40,1,11.9226923471,40,20,NA
"3",2,3,30,1,40,1,13.2096842957,40,20,NA
"4",3,4,40,1,40,0.39,5.87901501778,40,20,NA
"5",4,5,50,1,40,0,0,40,20,NA
"6",5,6,60,1,40,0.040404040404,2.33080673218,20,20,NA
"7",6,7,70,1,40,0,0,20,20,NA
"8",7,8,80,1,40,0.0891089108911,2.11627875434,20,20,NA
"9",8,9,90,1,40,0.148514851485,2.30644429525,20,20,NA
"10",9,10,100,1,40,0,0,20,20,NA
"11",10,11,110,1,40,0,0,20,20,NA
"12",11,12,120,1,40,0,0,20,20,NA
"13",12,13,130,1,40,0,0,20,20,NA
"14",13,14,140,1,40,0,0,20,20,NA
"15",14,15,150,1,40,0,0,20,20,NA
"16",15,16,160,1,40,0,0,20,20,NA
"17",16,17,170,1,40,0,0,20,20,NA
"18",17,18,180,1,40,0,0,20,20,NA
"19",18,19,190,1,40,0,0,20,20,NA
"20",19,20,200,1,40,0,0,20,20,NA
"21",20,1,10,-1,200,1,13.0745115662,40,NA,NA
"22",21,2,20,-1,200,1,25.1072594671,40,NA,NA
"23",22,3,30,-1,200,1,20.4426663208,40,NA,NA
"24",23,4,40,-1,200,1,16.2429623413,40,NA,NA
"25",24,5,50,-1,200,1,10.9883022116,40,NA,NA
"26",25,6,60,-1,200,1,11.2073698425,40,NA,NA
"27",26,7,70,-1,200,1,15.2214123535,40,NA,NA
"28",27,8,80,-1,200,1,18.6801567455,40,NA,NA
"29",28,9,90,-1,200,1,22.7598155629,40,NA,NA
"30",29,10,100,-1,200,1,14.1129057312,40,NA,NA
"31",30,11,110,-1,200,1,21.9806838838,40,NA,NA
"32",31,12,120,-1,200,1,24.044412594,40,NA,NA
"33",32,13,130,-1,200,1,21.2466838074,40,NA,NA
"34",33,14,140,-1,200,1,26.5990258789,40,NA,NA
"35",34,15,150,-1,200,1,20.4716209643,40,NA,NA
"36",35,16,160,-1,200,1,24.4085516357,40,NA,NA
"37",36,17,170,-1,200,1,22.747749176,40,NA,NA
"38",37,18,180,-1,200,1,20.6742567308,40,NA,NA
