"","Id","Distance","TransectID","FRBWidth.Lidar","Cover","Height","LU","FRBWidth.State"
"1",1,10,1,40,0.79,5.23101729381,40,50
"2",2,20,1,40,1,11.9226923471,40,50
"3",3,30,1,40,1,13.2096842957,40,50
"4",4,40,1,40,0.39,5.87901501778,40,50
"5",5,50,1,40,0,0,40,50
"6",6,60,1,40,0.040404040404,2.33080673218,20,50
"7",7,70,1,40,0,0,20,50
"8",8,80,1,40,0.0891089108911,2.11627875434,20,50
"9",9,90,1,40,0.148514851485,2.30644429525,20,50
"10",10,100,1,40,0,0,20,50
"11",11,110,1,40,0,0,20,50
"12",12,120,1,40,0,0,20,50
"13",13,130,1,40,0,0,20,50
"14",14,140,1,40,0,0,20,50
"15",15,150,1,40,0,0,20,50
"16",16,160,1,40,0,0,20,50
"17",17,170,1,40,0,0,20,50
"18",18,180,1,40,0,0,20,50
"19",19,190,1,40,0,0,20,50
"20",20,200,1,40,0,0,20,50
"21",1,10,-1,200,1,13.0745115662,40,200
"22",2,20,-1,200,1,25.1072594671,40,200
"23",3,30,-1,200,1,20.4426663208,40,200
"24",4,40,-1,200,1,16.2429623413,40,200
"25",5,50,-1,200,1,10.9883022116,40,200
"26",6,60,-1,200,1,11.2073698425,40,200
"27",7,70,-1,200,1,15.2214123535,40,200
"28",8,80,-1,200,1,18.6801567455,40,200
"29",9,90,-1,200,1,22.7598155629,40,200
"30",10,100,-1,200,1,14.1129057312,40,200
"31",11,110,-1,200,1,21.9806838838,40,200
"32",12,120,-1,200,1,24.044412594,40,200
"33",13,130,-1,200,1,21.2466838074,40,200
"34",14,140,-1,200,1,26.5990258789,40,200
"35",15,150,-1,200,1,20.4716209643,40,200
"36",16,160,-1,200,1,24.4085516357,40,200
"37",17,170,-1,200,1,22.747749176,40,200
"38",18,180,-1,200,1,20.6742567308,40,200
"39",19,190,-1,200,1,18.7663264419,40,200
"40",20,200,-1,200,1,19.5347232056,40,200
"41",1,10,2,20,1,10.0914297485,40,30
"42",2,20,2,20,0.575757575758,4.57539474755,40,30
"43",3,30,2,20,0,0,40,30
"44",4,40,2,20,0,0,20,30
"45",5,50,2,20,0,0,20,30
"46",6,60,2,20,0.14,2.09423174177,20,30
"47",7,70,2,20,0.39603960396,4.05996322632,20,30
"48",8,80,2,20,0,0,20,30
"49",9,90,2,20,0,0,20,30
"50",10,100,2,20,0,0,20,30
"51",11,110,2,20,0,0,20,30
"52",12,120,2,20,0,0,20,30
"53",13,130,2,20,0,0,20,30
"54",14,140,2,20,0,0,20,30
"55",15,150,2,20,0,0,20,30
"56",16,160,2,20,0,0,20,30
"57",17,170,2,20,0,0,20,30
"58",18,180,2,20,0,0,20,30
"59",19,190,2,20,0,0,20,30
"60",20,200,2,20,0,0,20,30
"61",1,10,-2,200,1,16.4844537354,40,200
"62",2,20,-2,200,1,18.5519520569,40,200
"63",3,30,-2,200,1,14.9906951602,40,200
"64",4,40,-2,200,1,14.3579371289,40,200
"65",5,50,-2,200,1,12.5971966553,40,200
"66",6,60,-2,200,1,15.9430862427,40,200
"67",7,70,-2,200,1,16.4109344482,40,200
"68",8,80,-2,200,1,15.8844350683,40,200
"69",9,90,-2,200,1,20.208724823,40,200
"70",10,100,-2,200,1,21.6316496594,40,200
"71",11,110,-2,200,1,18.8301747131,40,200
"72",12,120,-2,200,1,22.2711312866,40,200
"73",13,130,-2,200,1,23.5702804565,40,200
"74",14,140,-2,200,1,11.3513638306,40,200
"75",15,150,-2,200,1,17.0332557678,40,200
"76",16,160,-2,200,1,24.3065082814,40,200
"77",17,170,-2,200,1,21.5573738098,40,200
"78",18,180,-2,200,1,24.4910238647,40,200
"79",19,190,-2,200,1,18.8183712429,40,200
"80",20,200,-2,200,1,14.9990484892,40,200
"81",1,10,3,110,0.56,12.0560629708,40,10
"82",2,20,3,110,1,23.5665709241,10,10
"83",3,30,3,110,1,22.3975588989,10,10
"84",4,40,3,110,0.950495049505,16.025548617,10,10
"85",5,50,3,110,0.46,8.87641143799,10,10
"86",6,60,3,110,0.00990099009901,0.219223022461,10,10
"87",7,70,3,110,0.36,7.62424850464,10,10
"88",8,80,3,110,0.732673267327,4.01955083899,10,10
"89",9,90,3,110,0.80612244898,7.51652835894,10,10
"90",10,100,3,110,0.41,5.69892660001,10,10
"91",11,110,3,110,0.46,9.04280156675,10,10
"92",12,120,3,110,0.181818181818,2.96154869927,10,10
"93",13,130,3,110,0,0,10,10
"94",14,140,3,110,0,0,10,10
"95",15,150,3,110,0.11,1.0782068426,10,10
"96",16,160,3,110,0.755102040816,11.7470377329,10,10
"97",17,170,3,110,1,12.1583502197,10,10
"98",18,180,3,110,1,9.73098261669,10,10
"99",19,190,3,110,0.979797979798,6.10344766833,10,10
"100",20,200,3,110,1,13.2569859314,20,10
"101",1,10,-3,200,0.970297029703,11.0893769556,40,200
"102",2,20,-3,200,1,13.2428166199,40,200
"103",3,30,-3,200,1,9.14382614136,40,200
"104",4,40,-3,200,1,16.3845662032,40,200
"105",5,50,-3,200,1,15.8523388672,40,200
"106",6,60,-3,200,1,13.5571987039,40,200
"107",7,70,-3,200,1,16.2378025818,40,200
"108",8,80,-3,200,1,17.7254104614,40,200
"109",9,90,-3,200,1,15.1314318975,40,200
"110",10,100,-3,200,1,11.0146342363,40,200
"111",11,110,-3,200,1,13.3064050958,40,200
"112",12,120,-3,200,1,12.6785349943,40,200
"113",13,130,-3,200,1,13.3483641052,40,200
"114",14,140,-3,200,1,16.0358703305,40,200
"115",15,150,-3,200,1,15.4884076035,40,200
"116",16,160,-3,200,1,9.75604443672,40,200
"117",17,170,-3,200,1,14.2857617188,40,200
"118",18,180,-3,200,1,15.8915079856,40,200
"119",19,190,-3,200,1,16.5364060974,40,200
"120",20,200,-3,200,1,17.7411286926,40,200
"121",1,10,4,200,1,14.4237541199,40,200
"122",2,20,4,200,1,23.5656854248,40,200
"123",3,30,4,200,1,24.9484136963,40,200
"124",4,40,4,200,1,15.4037228394,40,200
"125",5,50,4,200,1,14.4023789978,40,200
"126",6,60,4,200,1,9.89803104401,40,200
"127",7,70,4,200,1,23.2127784729,40,200
"128",8,80,4,200,1,23.4223765564,40,200
"129",9,90,4,200,1,18.4832020974,40,200
"130",10,100,4,200,1,22.2406417847,40,200
"131",11,110,4,200,1,14.4121669172,40,200
"132",12,120,4,200,1,15.111084137,40,200
"133",13,130,4,200,1,19.1646928406,40,200
"134",14,140,4,200,1,14.4760806274,40,200
"135",15,150,4,200,1,14.7156455994,40,200
"136",16,160,4,200,1,15.0083140564,40,200
"137",17,170,4,200,0.88,11.5854833776,40,200
"138",18,180,4,200,1,12.798572998,40,200
"139",19,190,4,200,1,14.4644075012,40,200
"140",20,200,4,200,1,18.7700909424,40,200
"141",1,10,-4,80,1,12.2684738159,40,200
"142",2,20,-4,80,1,18.4681089783,40,200
"143",3,30,-4,80,1,20.6290454102,40,200
"144",4,40,-4,80,1,15.2811878967,40,200
"145",5,50,-4,80,1,12.5193676758,40,200
"146",6,60,-4,80,1,15.2358006287,40,200
"147",7,70,-4,80,1,17.192726593,40,200
"148",8,80,-4,80,0.9,12.5957882351,40,200
"149",9,90,-4,80,0.06,0.0242462158203,40,200
"150",10,100,-4,80,0.03,0.282923380534,40,200
"151",11,110,-4,80,0.08,3.1157283783,40,200
"152",12,120,-4,80,0,0,40,200
"153",13,130,-4,80,0,0,40,200
"154",14,140,-4,80,0.83,10.7861787727,40,200
"155",15,150,-4,80,0.58,7.22209904112,40,200
"156",16,160,-4,80,0.99,6.57166097622,40,200
"157",17,170,-4,80,1,11.5238250732,40,200
"158",18,180,-4,80,1,5.69187988281,40,200
"159",19,190,-4,80,1,14.5275163269,40,200
"160",20,200,-4,80,0.17,10.2955717199,40,200
"161",1,10,5,190,1,12.5372212219,40,160
"162",2,20,5,190,1,10.8077937317,40,160
"163",3,30,5,190,1,11.5494850236,40,160
"164",4,40,5,190,1,17.2228807068,40,160
"165",5,50,5,190,1,11.0740983582,40,160
"166",6,60,5,190,1,13.2075360107,40,160
"167",7,70,5,190,1,13.8822685524,40,160
"168",8,80,5,190,0.0789473684211,0.069834391276,40,160
"169",9,90,5,190,0.37,3.91750480033,40,160
"170",10,100,5,190,0.762376237624,10.5443434282,40,160
"171",11,110,5,190,0.891089108911,8.27516988118,40,160
"172",12,120,5,190,1,12.8035655119,40,160
"173",13,130,5,190,1,14.0843434236,40,160
"174",14,140,5,190,1,14.6058108521,40,160
"175",15,150,5,190,1,15.1047946439,40,160
"176",16,160,5,190,1,8.98662368774,40,160
"177",17,170,5,190,1,12.0599073792,10,160
"178",18,180,5,190,1,14.2679188039,10,160
"179",19,190,5,190,0.744186046512,8.90978956223,10,160
"180",20,200,5,190,0,0,10,160
"181",1,10,-5,200,0.909090909091,11.1108339098,40,200
"182",2,20,-5,200,1,12.3371601671,40,200
"183",3,30,-5,200,1,14.8593170166,40,200
"184",4,40,-5,200,1,17.5645567639,40,200
"185",5,50,-5,200,1,25.5224746855,40,200
"186",6,60,-5,200,1,22.3201579285,40,200
"187",7,70,-5,200,1,23.245670122,40,200
"188",8,80,-5,200,1,23.787606904,40,200
"189",9,90,-5,200,1,18.0854271615,40,200
"190",10,100,-5,200,0.76,10.8734755265,40,200
"191",11,110,-5,200,0.58,3.20474795637,40,200
"192",12,120,-5,200,0.990099009901,14.6543925476,40,200
"193",13,130,-5,200,0.910891089109,9.83030252871,40,200
"194",14,140,-5,200,0.84693877551,5.66891865558,40,200
"195",15,150,-5,200,0.247524752475,2.62658691406,40,200
"196",16,160,-5,200,0.33,3.68788794315,40,200
"197",17,170,-5,200,1,4.98307723228,40,200
"198",18,180,-5,200,1,13.2382850647,40,200
"199",19,190,-5,200,1,14.5679620422,40,200
"200",20,200,-5,200,1,13.8018904582,40,200
"201",1,10,6,70,1,21.5187968445,40,180
"202",2,20,6,70,1,22.3079287471,40,180
"203",3,30,6,70,1,23.6760085023,40,180
"204",4,40,6,70,0.979797979798,21.2746124268,40,180
"205",5,50,6,70,0.89,9.4887722744,40,180
"206",6,60,6,70,1,12.3410472107,40,180
"207",7,70,6,70,0.99,11.1383129081,40,180
"208",8,80,6,70,0.176470588235,7.20329793294,40,180
"209",9,90,6,70,0,0,40,180
